TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-06_0005,11.84,12.09,11.85,0.06,0.22,0.10,0.00,0.47
2018-02-22T11-30-06_0006,11.85,12.09,11.85,0.09,0.23,0.10,0.02,0.34
2018-02-22T11-30-06_0007,11.84,12.09,11.85,0.09,0.21,0.09,-0.05,0.32
2018-02-22T11-30-06_0008,11.82,12.09,11.85,0.07,0.27,0.11,0.02,0.41
2018-02-22T11-30-06_0009,11.84,12.09,11.85,0.06,0.25,0.09,0.00,0.46
2018-02-22T11-30-06_0010,11.85,12.08,11.85,0.05,0.24,0.08,0.02,0.18
2018-02-22T11-30-06_0011,11.85,12.09,11.85,0.06,0.22,0.09,0.05,0.24
2018-02-22T11-30-06_0012,11.85,12.09,11.84,0.08,0.22,0.09,0.07,0.21
2018-02-22T11-30-06_0013,11.85,12.09,11.83,0.07,0.25,0.10,0.05,0.19
2018-02-22T11-30-06_0014,11.82,12.09,11.85,0.06,0.45,0.10,0.02,0.25
2018-02-22T11-30-06_0015,11.85,12.08,11.85,0.07,0.28,0.09,0.07,0.19
2018-02-22T11-30-06_0016,11.84,12.09,11.85,0.08,0.24,0.07,0.00,0.47
2018-02-22T11-30-07_0000,11.84,12.07,11.84,0.06,0.41,0.12,0.09,0.16
2018-02-22T11-30-07_0001,11.84,12.07,11.85,0.06,0.46,0.10,-0.05,0.18
2018-02-22T11-30-07_0002,11.84,12.08,11.85,0.07,0.23,0.08,0.02,0.47
2018-02-22T11-30-07_0003,11.85,12.09,11.83,0.05,0.21,0.07,0.00,0.18
2018-02-22T11-30-07_0004,11.84,12.09,11.85,0.09,0.25,0.05,-0.02,0.38
2018-02-22T11-30-07_0005,11.85,12.11,11.84,0.07,0.21,0.07,0.00,0.20
2018-02-22T11-30-07_0006,11.84,12.09,11.85,0.05,0.22,0.13,0.00,0.45
2018-02-22T11-30-07_0007,11.83,12.09,11.85,0.07,0.49,0.10,0.00,0.21
2018-02-22T11-30-07_0008,11.82,12.09,11.85,0.09,0.34,0.09,0.07,0.35
2018-02-22T11-30-07_0009,11.85,12.09,11.83,0.07,0.20,0.06,0.00,0.20
2018-02-22T11-30-07_0010,11.85,12.10,11.84,0.07,0.21,0.09,0.02,0.21
2018-02-22T11-30-07_0011,11.85,12.10,11.84,0.08,0.23,0.07,0.02,0.20
2018-02-22T11-30-07_0012,11.84,12.09,11.83,0.07,0.22,0.09,0.02,0.22
2018-02-22T11-30-07_0013,11.85,12.08,11.84,0.09,0.22,0.09,-0.05,0.18
2018-02-22T11-30-07_0014,11.83,12.08,11.85,0.06,0.49,0.10,0.05,0.22
2018-02-22T11-30-07_0015,11.85,12.09,11.84,0.08,0.23,0.10,0.02,0.21
2018-02-22T11-30-07_0016,11.85,12.10,11.85,0.07,0.20,0.08,0.02,0.20
2018-02-22T11-30-08_0000,11.83,12.09,11.85,0.06,0.26,0.11,-0.05,0.48
2018-02-22T11-30-08_0001,11.85,12.09,11.83,0.07,0.21,0.07,-0.05,0.19
2018-02-22T11-30-08_0002,11.84,12.08,11.85,0.07,0.45,0.07,0.05,0.19
2018-02-22T11-30-08_0003,11.85,12.09,11.82,0.10,0.22,0.10,-0.02,0.19
2018-02-22T11-30-08_0004,11.85,12.07,11.85,0.06,0.36,0.08,0.02,0.19
2018-02-22T11-30-08_0005,11.83,12.09,11.85,0.08,0.47,0.10,-0.05,0.23
2018-02-22T11-30-08_0006,11.84,12.09,11.85,0.08,0.24,0.08,0.05,0.27
